stop_name,latitude,longitude
Saint-Ambroise,48.861476,2.373944
Voltaire (Léon Blum),48.857878,2.380021
Charonne,48.855094,2.384700
Rue des Boulets,48.852168,2.389626
Buzenval,48.851975,2.401927
Maraîchers,48.852725,2.406089
Porte de Montreuil,48.853380,2.411318
Robespierre,48.855726,2.422983
Croix-de-Chavaux (Jacques Duclos),48.857784,2.434538
Mairie de Montreuil,48.862299,2.441522
Boulogne Pont de Saint-Cloud,48.840745,2.228537
Boulogne-Jean-Jaurès,48.842005,2.238887
Chardon-Lagache,48.845205,2.266442
Mirabeau,48.847131,2.272764
Javel-André-Citroen,48.846157,2.278400
Charles Michels,48.846535,2.285999
Avenue Emile-Zola,48.846997,2.295019
Ségur,48.847066,2.307402
Duroc,48.847021,2.316715
Vaneau,48.848816,2.321258
Sèvres-Babylone,48.851397,2.326462
Mabillon,48.853017,2.335502
Cluny-La Sorbonne,48.851050,2.344273
Maubert-Mutualité,48.850090,2.348209
Cardinal-Lemoine,48.846657,2.351623
Eglise d'Auteuil,48.847150,2.269136
Porte d'Auteuil,48.847972,2.257745
Mairie des Lilas,48.879761,2.416480
Télégraphe,48.875474,2.398868
Jourdain,48.875112,2.389415
Pyrénées,48.873882,2.385316
Goncourt (Hôpital Saint-Louis),48.869958,2.371095
Rambuteau,48.861205,2.353496
Mairie d'Issy,48.824309,2.273666
Corentin-Celton,48.827085,2.279412
Porte de Versailles,48.832333,2.287766
Convention,48.837099,2.296231
Vaugirard (Adolphe Chérioux),48.839517,2.301108
Volontaires,48.841506,2.307949
Falguière,48.844470,2.317853
Notre-Dame des Champs,48.844943,2.328778
Rennes,48.848458,2.327782
Rue du Bac,48.855196,2.325816
Solférino,48.858499,2.323168
Assemblée Nationale,48.860787,2.320998
Trinité-d'Estienne d'Orves,48.876330,2.333109
Notre-Dame de Lorette,48.876047,2.337496
Saint-Georges,48.878173,2.337858
Abbesses,48.884594,2.337950
Lamarck-Caulaincourt,48.889674,2.338761
Jules Joffrin,48.892419,2.344765
Marx-Dormoy,48.890485,2.359996
Porte de la Chapelle,48.897819,2.358942
Front Populaire,48.906567,2.365920
Aimé Césaire,48.908082,2.377741
Mairie d'Aubervilliers,48.913711,2.380736
Châtillon Montrouge,48.810674,2.301018
Malakoff-Rue Etienne Dolet,48.815308,2.297078
Malakoff-Plateau de Vanves,48.822584,2.298464
Porte de Vanves,48.827605,2.306085
Plaisance,48.831826,2.314122
Pernety,48.834226,2.318616
Gaîté,48.838632,2.322492
Saint-François-Xavier,48.851442,2.314408
Varenne,48.856871,2.315057
Liège,48.879635,2.327022
La Fourche,48.887184,2.325780
Brochant,48.890587,2.320175
Porte de Clichy,48.894506,2.314099
Mairie de Clichy,48.903234,2.306011
Gabriel-Péri,48.916382,2.294685
Les Agnettes,48.923104,2.286280
Asnières-Gennevilliers Les Courtilles,48.930486,2.283949
Guy-Môquet,48.892207,2.327220
Porte de Saint-Ouen,48.897523,2.329387
Garibaldi,48.906094,2.331831
Mairie de Saint-Ouen,48.912583,2.334294
Carrefour-Pleyel,48.919008,2.342608
Saint-Denis - Porte de Paris,48.929876,2.356664
Basilique de Saint-Denis,48.937417,2.360079
Saint-Denis-Université,48.945867,2.364636
Saint-Ouen,48.904531,2.322185
Pont Cardinet,48.888890,2.314455
Cour Saint-Emilion,48.833339,2.386632
Bibliothèque-François Mitterrand,48.829435,2.376722
Olympiades,48.827271,2.368033
Saint-Germain-en-Laye,48.899895,2.095025
Le Vésinet-Le Pecq,48.897973,2.122117
Le Vésinet-Centre,48.890086,2.134601
Chatou-Croissy,48.885211,2.155903
Rueil-Malmaison,48.887574,2.172579
Nanterre-Ville,48.895126,2.195364
Nanterre-Université,48.901161,2.213429
Nanterre-Préfecture,48.895745,2.223213
Auber,48.872157,2.329927
Châtelet-Les Halles,48.861822,2.347013
Vincennes,48.847340,2.432435
Fontenay-sous-Bois,48.843794,2.463501
Nogent-sur-Marne,48.834289,2.471681
Joinville-le-Pont,48.821039,2.463857
Saint-Maur Créteil,48.806200,2.472720
Le Parc de Saint-Maur,48.805378,2.486350
Champigny,48.806985,2.510307
La Varenne-Chennevières,48.795384,2.513423
Sucy Bonneuil,48.771708,2.507483
Boissy-Saint-Léger,48.752186,2.504560
Cergy-Le-Haut,49.047876,2.011000
Cergy-Saint-Christophe,49.049647,2.034294
Cergy-Préfecture,49.036464,2.079535
Neuville-Université,49.014134,2.078307
Conflans-Fin d'Oise,48.990874,2.074431
Achères-Ville,48.970665,2.077732
Maisons-Laffitte,48.945503,2.145017
Sartrouville,48.937736,2.157086
Houilles Carrières-sur-Seine,48.920379,2.185353
Val de Fontenay,48.854183,2.488932
Noisy-le-Grand (Mont d'Est),48.840844,2.549900
Noisy-Champs,48.842885,2.580086
Noisiel,48.843509,2.616679
Lognes,48.839219,2.633211
Torcy,48.839646,2.655130
Bussy-Saint-Georges,48.836536,2.708982
Val d'europe,48.854825,2.772428
Marne-la-Vallée Chessy,48.869950,2.782227
Mitry-Claye,48.975859,2.642406
Villeparisis,48.953148,2.603135
Vert-Galant,48.944181,2.566448
Sevran Livry,48.936280,2.534715
Aulnay-sous-Bois,48.932117,2.496048
Blanc-Mesnil,48.932305,2.475674
Drancy,48.932706,2.454766
Le Bourget,48.930514,2.424588
La Courneuve-Aubervilliers,48.924354,2.386388
La Plaine-Stade de France,48.918008,2.362471
Saint-Michel Notre-Dame,48.852940,2.344198
Luxembourg,48.845434,2.339763
Port-Royal,48.840034,2.337096
Cité Universitaire,48.820720,2.338780
Gentilly,48.815230,2.340891
Laplace,48.808297,2.334354
Arcueil-Cachan,48.798893,2.328137
Bagneux,48.793336,2.322202
Bourg-la-Reine,48.780314,2.312308
Sceaux,48.781357,2.297648
Fontenay-aux-Roses,48.787567,2.292988
Robinson,48.780237,2.281431
Aéroport Charles de Gaulle 2 TGV,49.004687,2.570589
Aéroport Charles de Gaulle 1,49.009756,2.561233
Parc des Expositions,48.973425,2.514360
Villepinte,48.962710,2.512645
Sevran-Beaudottes,48.946894,2.524779
Parc de Sceaux,48.769563,2.309905
La Croix-de-Berny,48.762545,2.304577
Antony,48.754947,2.300987
Fontaine-Michalon,48.743017,2.295921
Les Baconnets,48.739681,2.287667
Massy-Verrières,48.734888,2.274002
Massy-Palaiseau,48.725455,2.258527
Palaiseau,48.716946,2.245673
Palaiseau-Villebon,48.708141,2.237314
Lozère,48.705969,2.212262
Le Guichet,48.705404,2.192735
Orsay-Ville,48.697506,2.181054
Bures-sur-Yvette,48.696253,2.164378
La Hacquinière,48.695264,2.151642
Gif-sur-Yvette,48.698197,2.136567
Courcelle-sur-Yvette,48.701218,2.097976
Saint-Rémy Iès-Chevreuse,48.702751,2.071243
